Year,zipcode,PrimaryType,Count
2001,60616,NARCOTICS,2245
2001,60616,OFFENSE INVOLVING CHILDREN,40
2001,60616,OTHER OFFENSE,555
2001,60616,PROSTITUTION,11
2001,60616,PUBLIC PEACE VIOLATION,36
2001,60616,ROBBERY,322
2001,60616,SEX OFFENSE,40
2001,60616,STALKING,3
2001,60616,THEFT,2173
2001,60616,WEAPONS VIOLATION,84
2001,60617,ARSON,32
2001,60617,ASSAULT,1010
2001,60617,BATTERY,2580
2001,60617,BURGLARY,587
2001,60617,CRIM SEXUAL ASSAULT,44
2001,60617,CRIMINAL DAMAGE,1797
2001,60617,CRIMINAL TRESPASS,263
2001,60617,DECEPTIVE PRACTICE,304
2001,60617,DOMESTIC VIOLENCE,1
2001,60617,GAMBLING,14
2001,60617,HOMICIDE,26
2001,60617,INTERFERENCE WITH PUBLIC OFFICER,6
2001,60617,INTIMIDATION,8
2001,60617,KIDNAPPING,36
2001,60617,LIQUOR LAW VIOLATION,41
2001,60617,MOTOR VEHICLE THEFT,586
2001,60617,NARCOTICS,982
2001,60617,OFFENSE INVOLVING CHILDREN,91
2001,60617,OTHER OFFENSE,733
2001,60617,PROSTITUTION,17
2001,60617,PUBLIC PEACE VIOLATION,84
2001,60617,ROBBERY,318
2001,60617,SEX OFFENSE,50
2001,60617,STALKING,4
2001,60617,THEFT,1790
2001,60617,WEAPONS VIOLATION,182
2001,60618,ARSON,28
2001,60618,ASSAULT,435
2001,60618,BATTERY,1273
2001,60618,BURGLARY,638
2001,60618,CRIM SEXUAL ASSAULT,27
2001,60618,CRIMINAL DAMAGE,1217
2001,60618,CRIMINAL TRESPASS,127
2001,60618,DECEPTIVE PRACTICE,235
2001,60618,GAMBLING,18
2001,60618,HOMICIDE,8
2001,60618,INTERFERENCE WITH PUBLIC OFFICER,9
2001,60618,INTIMIDATION,11
2001,60618,KIDNAPPING,25
2001,60618,LIQUOR LAW VIOLATION,37
2001,60618,MOTOR VEHICLE THEFT,668
2001,60618,NARCOTICS,359
2001,60618,OFFENSE INVOLVING CHILDREN,33
2001,60618,OTHER OFFENSE,501
2001,60618,PROSTITUTION,8
2001,60618,PUBLIC INDECENCY,1
2001,60618,PUBLIC PEACE VIOLATION,52
2001,60618,RITUALISM,1
2001,60618,ROBBERY,319
2001,60618,SEX OFFENSE,58
2001,60618,STALKING,1
2001,60618,THEFT,1826
2001,60618,WEAPONS VIOLATION,51
2001,60619,ARSON,39
2001,60619,ASSAULT,1168
