"","Year","zipcode","PrimaryType","Count","SurpriseRatio"
"138",2001,"60607","LIQUOR LAW VIOLATION",13,1.99277792912359
"139",2001,"60607","MOTOR VEHICLE THEFT",247,2.24985923008207
"140",2001,"60607","NARCOTICS",657,3.26033639721524
"141",2001,"60607","OFFENSE INVOLVING CHILDREN",14,1.57045784462895
"142",2001,"60607","OTHER OFFENSE",339,2.86847690004781
"143",2001,"60607","PROSTITUTION",15,0.62463506918264
"144",2001,"60607","PUBLIC PEACE VIOLATION",108,9.85496969950583
"145",2001,"60607","ROBBERY",186,2.53100328038029
"146",2001,"60607","SEX OFFENSE",16,1.80125063048642
"147",2001,"60607","STALKING",1,1.23614151950561
"148",2001,"60607","THEFT",1266,3.20041402955657
"149",2001,"60607","WEAPONS VIOLATION",52,3.05304395879767
"150",2001,"60608","ARSON",41,2.94211626229157
"151",2001,"60608","ASSAULT",601,1.38791709335626
"152",2001,"60608","BATTERY",1454,1.1277072971912
"153",2001,"60608","BURGLARY",429,1.19535689430486
"154",2001,"60608","CRIM SEXUAL ASSAULT",13,0.524899606276084
"155",2001,"60608","CRIMINAL DAMAGE",1073,1.39240673767146
"156",2001,"60608","CRIMINAL TRESPASS",180,0.985330367114819
"157",2001,"60608","DECEPTIVE PRACTICE",194,0.944097587888583
"158",2001,"60608","GAMBLING",2,0.15519597978349
"159",2001,"60608","HOMICIDE",18,1.95588816500753
"160",2001,"60608","INTERFERENCE WITH PUBLIC OFFICER",4,0.714054409447192
"161",2001,"60608","INTIMIDATION",11,2.85749730518921
"162",2001,"60608","KIDNAPPING",20,1.55362320597835
"163",2001,"60608","LIQUOR LAW VIOLATION",66,2.92208337745067
"164",2001,"60608","MOTOR VEHICLE THEFT",478,1.25753304233001
"165",2001,"60608","NARCOTICS",494,0.708038881960402
"166",2001,"60608","OBSCENITY",1,3.81455381888895
"167",2001,"60608","OFFENSE INVOLVING CHILDREN",48,1.55515113224261
"168",2001,"60608","OTHER NARCOTIC VIOLATION",2,24.1588408529633
"169",2001,"60608","OTHER OFFENSE",380,0.928684872281434
"170",2001,"60608","PROSTITUTION",47,0.565283199513414
"171",2001,"60608","PUBLIC PEACE VIOLATION",50,1.31775495561618
"172",2001,"60608","ROBBERY",204,0.801757529527334
"173",2001,"60608","SEX OFFENSE",43,1.39815633469371
"174",2001,"60608","STALKING",6,2.14216322834158
"175",2001,"60608","THEFT",1529,1.11638260590489
"176",2001,"60608","WEAPONS VIOLATION",107,1.81445669485289
"177",2001,"60609","ARSON",46,4.20784009655395
"178",2001,"60609","ASSAULT",900,2.64945766311797
"179",2001,"60609","BATTERY",2812,2.78017877025498
"180",2001,"60609","BURGLARY",763,2.71013084230866
"181",2001,"60609","CRIM SEXUAL ASSAULT",49,2.5220540920244
"182",2001,"60609","CRIMINAL DAMAGE",1391,2.30101233252202
"183",2001,"60609","CRIMINAL TRESPASS",292,2.03759392039224
"184",2001,"60609","DECEPTIVE PRACTICE",213,1.32135704251436
"185",2001,"60609","GAMBLING",44,4.35239767923977
"186",2001,"60609","HOMICIDE",29,4.01693619803354
"187",2001,"60609","INTERFERENCE WITH PUBLIC OFFICER",13,2.95828552515278
"188",2001,"60609","INTIMIDATION",10,3.31145277974091
"189",2001,"60609","KIDNAPPING",22,2.17853131426042
"190",2001,"60609","LIQUOR LAW VIOLATION",36,2.03177957970176
"191",2001,"60609","MOTOR VEHICLE THEFT",617,2.06919821359374
"192",2001,"60609","NARCOTICS",1569,2.86667543216795
"193",2001,"60609","OFFENSE INVOLVING CHILDREN",64,2.64324098502699
"194",2001,"60609","OTHER OFFENSE",767,2.38949188931446
"195",2001,"60609","PROSTITUTION",261,4.0016043804838
"196",2001,"60609","PUBLIC INDECENCY",1,10.2655036171968
"197",2001,"60609","PUBLIC PEACE VIOLATION",95,3.19163839734665
"198",2001,"60609","ROBBERY",482,2.41482320326446
"199",2001,"60609","SEX OFFENSE",66,2.73562545922607
"200",2001,"60609","STALKING",5,2.27560425011752
"201",2001,"60609","THEFT",2074,1.93036640190397
"202",2001,"60609","WEAPONS VIOLATION",159,3.43704625086773
"203",2001,"60610","ARSON",5,0.786892643831525
"204",2001,"60610","ASSAULT",397,2.01070828063425
"205",2001,"60610","BATTERY",1587,2.69946945759251
"206",2001,"60610","BURGLARY",181,1.10608468893038
"207",2001,"60610","CRIM SEXUAL ASSAULT",24,2.12526770879957
"208",2001,"60610","CRIMINAL DAMAGE",633,1.80152217142328
"209",2001,"60610","CRIMINAL TRESPASS",620,7.44338630766316
"210",2001,"60610","DECEPTIVE PRACTICE",275,2.9350625370873
"211",2001,"60610","GAMBLING",1,0.170184490421807
"212",2001,"60610","HOMICIDE",8,1.90647453138193
"213",2001,"60610","INTERFERENCE WITH PUBLIC OFFICER",16,6.26413060311204
"214",2001,"60610","INTIMIDATION",1,0.56972155574899
"215",2001,"60610","KIDNAPPING",8,1.36293516873713
"216",2001,"60610","LIQUOR LAW VIOLATION",12,1.16519717082933
"217",2001,"60610","MOTOR VEHICLE THEFT",203,1.17127009158066
"218",2001,"60610","NARCOTICS",1267,3.98268795669859
"219",2001,"60610","OFFENSE INVOLVING CHILDREN",23,1.63428843238322
"220",2001,"60610","OTHER OFFENSE",370,1.98315201645428
"221",2001,"60610","PROSTITUTION",197,5.19641650657679
"222",2001,"60610","PUBLIC INDECENCY",1,17.6613682282187
