Year,zipcode,PrimaryType,Count,SurpriseRatio
2013,60603,ROBBERY,70,72.03461833
2006,60603,KIDNAPPING,2,71.76141497
2001,60617,DOMESTIC VIOLENCE,1,71.25702573
2004,60617,RITUALISM,1,71.25702573
2012,60604,CRIMINAL TRESPASS,55,70.43489658
2015,60604,DECEPTIVE PRACTICE,104,70.32089962
2016,60603,STALKING,1,70.30959444
2008,60604,DECEPTIVE PRACTICE,99,70.0936009
2007,60603,ROBBERY,89,70.06840295
2009,60603,ROBBERY,92,70.03238657
2010,60661,OBSCENITY,3,69.96260734
2014,60603,ROBBERY,56,69.50605622
2001,60602,PUBLIC PEACE VIOLATION,38,68.82275143
2006,60604,PUBLIC PEACE VIOLATION,20,68.58156637
2010,60602,CRIMINAL TRESPASS,129,68.34343231
2015,60604,STALKING,1,68.31436546
2014,60602,CRIMINAL TRESPASS,103,68.05534186
2011,60604,CRIMINAL TRESPASS,56,68.03823625
2002,60602,CRIMINAL TRESPASS,189,67.81932553
2013,60604,DECEPTIVE PRACTICE,87,67.64288437
2012,60604,INTIMIDATION,1,67.43854026
2003,60654,PUBLIC INDECENCY,1,67.18918768
2012,60654,NON-CRIMINAL,1,67.18918768
2014,60603,ASSAULT,93,66.94348828
2007,60639,RITUALISM,1,66.32932184
2003,60602,CRIMINAL TRESPASS,197,66.26440124
2013,60604,CRIMINAL TRESPASS,51,65.95464368
2009,60604,CRIMINAL TRESPASS,68,65.92830477
2010,60604,DECEPTIVE PRACTICE,78,65.92160651
2016,60603,BATTERY,271,65.57240334
2012,60603,PUBLIC PEACE VIOLATION,16,64.72130276
2010,60603,STALKING,1,64.35745946
2005,60649,RITUALISM,1,64.27261522
2002,60604,THEFT,592,63.34052773
2006,60603,ROBBERY,83,63.22491649
2016,60624,NON - CRIMINAL,2,62.94853694
2008,60603,INTERFERENCE WITH PUBLIC OFFICER,3,62.91496468
2007,60604,THEFT,505,62.38912351
2013,60603,PUBLIC PEACE VIOLATION,16,62.07877429
2010,60603,PUBLIC PEACE VIOLATION,18,61.88357181
2010,60603,INTIMIDATION,1,61.74395857
2016,60603,ASSAULT,95,61.70109913
2011,60602,CRIMINAL TRESPASS,107,61.54562217
2016,60604,STALKING,1,60.81163168
2015,60604,THEFT,331,60.76175999
2012,60603,ROBBERY,67,60.43444636
2011,60603,ROBBERY,69,60.02614996
2001,60601,PUBLIC INDECENCY,1,59.97234723
2001,60603,STALKING,1,59.91901398
2010,60603,ASSAULT,106,59.87171316
2003,60626,OTHER NARCOTIC VIOLATION,1,59.80010571
2005,60626,RITUALISM,1,59.80010571
2014,60626,HUMAN TRAFFICKING,1,59.80010571
2016,60604,DECEPTIVE PRACTICE,102,59.61235779
2011,60603,ASSAULT,100,59.59315976
2004,60602,CRIMINAL TRESPASS,190,59.46790877
2016,60602,CRIMINAL TRESPASS,75,59.22697622
2011,60661,PUBLIC INDECENCY,1,59.19912928
2011,60602,INTIMIDATION,2,58.25255969
2011,60604,STALKING,1,58.12382476
2009,60604,DECEPTIVE PRACTICE,76,58.07316483
2012,60604,DECEPTIVE PRACTICE,74,57.72303023
2007,60603,ASSAULT,124,57.31859162
2008,60604,CRIMINAL TRESPASS,67,57.25975815
2007,60603,STALKING,1,57.10591473
2012,60603,ASSAULT,93,56.85049075
2003,60603,OTHER OFFENSE,145,56.62555548
2006,60604,CRIMINAL TRESPASS,78,56.57305466
2015,60604,PUBLIC PEACE VIOLATION,13,56.49126793
2001,60604,OTHER OFFENSE,159,56.40496199
2016,60602,PUBLIC PEACE VIOLATION,18,55.85712733
2003,60603,LIQUOR LAW VIOLATION,6,55.66846608
2005,60604,THEFT,452,55.4966021
2008,60603,ROBBERY,76,55.34518037
2016,60624,PROSTITUTION,281,55.276684
2015,60604,SEX OFFENSE,5,55.19628689
2005,60604,STALKING,1,54.79381396
2003,60604,THEFT,514,54.69018369
2006,60604,THEFT,448,54.65275982
2008,60602,CRIMINAL TRESPASS,135,54.62064746
2015,60603,BATTERY,219,54.46592796
2002,60604,PROSTITUTION,33,54.17815313
2016,60604,THEFT,315,53.89993768
2005,60603,ROBBERY,71,53.81770726
2001,60602,CRIMINAL TRESPASS,143,53.79342304
2010,60604,CRIMINAL TRESPASS,48,53.71553978
2014,60604,THEFT,314,53.67993396
2016,60603,LIQUOR LAW VIOLATION,1,53.58396404
